track_name,artist_name,playlists
Renaissance,Eminem,
The Ringer,Eminem,
Role Model,Eminem,
Without Me,Eminem,
Say Goodbye Hollywood,Eminem,
Sing For The Moment,Eminem,
Space Bound,Eminem,
Stay Wide Awake,Eminem,
Still Don't Give A Fuck,Eminem,
Tone Deaf,Eminem,
Venom - Music From The Motion Picture,Eminem,
The Way I Am,Eminem,
When I'm Gone,Eminem,
White America,Eminem,
Who Knew,Eminem,
Rock Bottom,Eminem,
Lose Yourself,Eminem,
Marsh,Eminem,
Legacy,Eminem,
3 a.m.,Eminem,
Alfred’s Theme,Eminem,
Arose,Eminem,
Beautiful,Eminem,
Berzerk,Eminem,
Brain Damage,Eminem,
Business,Eminem,
Careful What You Wish For,Eminem,
Cleanin' Out My Closet,Eminem,
Cold Wind Blows,Eminem,
Criminal,Eminem,
Darkness,Eminem,
Deja Vu,Eminem,
Discombobulated,Eminem,
Drug Ballad,Eminem,
Fall,Eminem,
Gnat,Eminem,
Going Through Changes,Eminem,
Hailie's Song,Eminem,
Higher,Eminem,
Houdini,Eminem,
If I Had,Eminem,
I'm Shady,Eminem,
Infinite,Eminem,
Just Don't Give A Fuck,Eminem,
Killer,Eminem,
Killshot,Eminem,
Kill You,Eminem,
Kim,Eminem,
Little Engine,Eminem,
As The World Turns,Eminem,
Ridaz,Eminem,
Kamikaze,Eminem,
You’re Never Over,Eminem,
Is This Love ('09) (feat. 50 Cent),"Eminem,50 Cent",
Amityville,"Eminem,Bizarre",
When The Music Stops,"Eminem,D12",
Under The Influence,"Eminem,D12",
Stan,"Eminem,Dido",
Guilty Conscience,"Eminem,Dr. Dre",
Crack A Bottle,"Eminem,Dr. Dre,50 Cent",
Guns Blazing (feat. Dr. Dre & Sly Pyper),"Eminem,Dr. Dre,Sly Pyper",
Bitch Please II,"Eminem,Dr. Dre,Snoop Dogg,Xzibit,Nate Dogg",
My Dad's Gone Crazy,"Eminem,Hailie Jade",
Killer (feat. Jack Harlow & Cordae) - Remix,"Eminem,Jack Harlow,Cordae",
Lucky You (feat. Joyner Lucas),"Eminem,Joyner Lucas",
Godzilla (feat. Juice WRLD),"Eminem,Juice WRLD",
No Love (feat. Lil Wayne),"Eminem,Lil Wayne",
Till I Collapse,"Eminem,Nate Dogg",
Drips,"Eminem,Obie Trice",
Won't Back Down (feat. P!nk),"Eminem,P!nk",
Not Alike (feat. Royce Da 5'9),"Eminem,Royce Da 5'9",
From The D 2 The LBC (with Snoop Dogg),"Eminem,Snoop Dogg",
Habits,"Eminem,White Gold",
Body & Soul (feat. Biig Piig),"Emotional Oranges,Biig Piig",
El Cuervo,Endor,
Tears in Heaven,Eric Clapton,
Tears in Heaven - Acoustic; Live at MTV Unplugged Bray Film Studios Windsor England UK 1/16/1992; 2013 Remaster,Eric Clapton,
Ella Baila Sola,"Eslabon Armado,Peso Pluma",
Planeta Novo,Estraca,
Por Nos,Estraca,
Terra Nostra,Estraca,
Chinatown,"Estraca,Chippie",
ChinaTown,"Estraca,Chippie",
Palavras,"Estraca,Madkutz",
Imagina,"FRANKIEONTHEGUITAR,Slow J,Ivandro",
Tempo,"FRANKIEONTHEGUITAR,T-Rex,LON3R JOHNY,Bispo",
underwater,"FRANKIEONTHEGUITAR,Van Zee,Diogo Picarra",
Casa,Fakietrapflip,
Medicamentos,Fakietrapflip,
Hoes Mad,Famous Dex,
PICK IT UP (feat. A$AP Rocky),"Famous Dex,A$AP Rocky",
Rasta Got Soul,Fantan Mojah,
Playstation,Ferry RBL,
Clark Kent,Ferry RBL,
Good Vibe,"Filipe Ret,Caio Luccas,Dallass",
F* F* M*,"Filipe Ret,Dallass",
Corte Americano,"Filipe Ret,L7NNON,Chris Beats Zn",
Richer Than Ever,"Fivio Foreign,Rich The Kid",
Pumped Up Kicks,Foster The People,
Into Dust (Still Falling),Four Tet,
Pyramids,Frank Ocean,
Dear April (Side A - Acoustic),Frank Ocean,
Novacane,Frank Ocean,
Chanel,Frank Ocean,
Nights,Frank Ocean,
Ivy,Frank Ocean,
In My Room,Frank Ocean,
Biking,"Frank Ocean,JAY-Z,Tyler The Creator",
My Way,Frank Sinatra,
That's Life,Frank Sinatra,
Fly Me To The Moon,"Frank Sinatra,Count Basie",
Out The Fire (At The Hotel) - Radio Edit,"Franky Rizardo,Ros T,Eunice Collins",
Make Me Feel Free,Franky Wah,
places to be,"Fred again..,Anderson .Paak,CHIKA",
glow,"Fred again..,Duskus,Four Tet,Joy Anonymous,Skrillex",
adore u,"Fred again..,Obongjayar",
Baby $hit,"Freddie Gibbs,The Alchemist",
God Is Perfect,"Freddie Gibbs,The Alchemist",
Back 2 the Basics,FullClipCash,
The City is a Jungle,"Fumaxa,Richie Campbell,Julinho Ksd",
What a Day!,"Futon Don,bbno$",
Fuck Up Some Commas,Future,
Flip,Future,
Mask Off,Future,
Tycoon,Future,
WIFI LIT,Future,
Life Is Good (feat. Drake),"Future,Drake",
Mask Off (feat. Kendrick Lamar) - Remix,"Future,Kendrick Lamar",
Last Name (feat. Lil Durk),"Future,Lil Durk",
Drankin N Smokin,"Future,Lil Uzi Vert",
Like That,"Future,Metro Boomin,Kendrick Lamar",
SOUTH OF FRANCE - REMIX,"Future,Travis Scott",
Trillionaire (feat. Youngboy Never Broke Again),"Future,YoungBoy Never Broke Again",
PTSD,"G Herbo,Juice WRLD,Lil Uzi Vert,Chance the Rapper",
Collina,GROGNation,
Como Tu,"GROGNation,Filipe Goncalves",
